Code, Description, CodeType, Deprecated, Created, Modified, 
126821, Trachurus picturatus, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126822, Trachurus trachurus, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126835, Cepola macrophthalma, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
126858, Epigonus telescopus, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
126868, Aphia minuta, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
126892, Gobius niger, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
126904, Lesueurigobius friesii, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
126916, Neogobius melanostomus, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
126927, Pomatoschistus microps, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
126928, Pomatoschistus minutus, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
126930, Pomatoschistus pictus, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
126957, Acantholabrus palloni, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
126961, Centrolabrus exoletus, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
126964, Ctenolabrus rupestris, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
126965, Labrus bergylta, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
126975, Dicentrarchus labrax, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126977, Chelon labrosus, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
126985, Mullus barbatus, SpecWoRMS, False, 2013-11-27, 2015-12-14, 
126986, Mullus surmuletus, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126996, Pholis gunnellus, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
127023, Scomber scombrus, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
127059, Pagellus bogaraveo, SpecWoRMS, False, 2013-05-02, 2015-12-18, 
127072, Leptoclinus maculatus, SpecWoRMS, False, 2013-11-27, 2013-11-27, 
127082, Trachinus draco, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
127085, Aphanopus carbo, SpecWoRMS, False, 2013-05-02, 2015-12-18, 
127118, Lycodes vahlii, SpecWoRMS, False, 2013-11-27, 2013-11-27, 
127123, Zoarces viviparus, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
127124, Arnoglossus imperialis, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
127126, Arnoglossus laterna, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
127136, Glyptocephalus cynoglossus, SpecWoRMS, False, 2013-05-02, 2015-12-18, 
127137, Hippoglossoides platessoides, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
127138, Hippoglossus hippoglossus, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
127139, Limanda limanda, SpecWoRMS, False, 2013-05-02, 2015-12-18, 
127140, Microstomus kitt, SpecWoRMS, False, 2013-05-02, 2015-12-18, 
127141, Platichthys flesus, SpecWoRMS, False, 2013-05-02, 2015-12-18, 
127143, Pleuronectes platessa, SpecWoRMS, False, 2013-05-02, 2015-12-18, 
127144, Reinhardtius hippoglossoides, SpecWoRMS, False, 2013-05-02, 2015-12-18, 
127145, Lepidorhombus boscii, SpecWoRMS, False, 2013-05-02, 2015-12-18, 
127146, Lepidorhombus whiffiagonis, SpecWoRMS, False, 2013-05-02, 2015-12-18, 
127147, Phrynorhombus norvegicus, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
127149, Scophthalmus maximus, SpecWoRMS, False, 2013-05-02, 2015-12-18, 
127150, Scophthalmus rhombus, SpecWoRMS, False, 2013-05-02, 2015-12-18, 
127151, Zeugopterus punctatus, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
127153, Buglossidium luteum, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
127156, Pegusa lascaris, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
